time,object,confidence
2025-10-24 19:49:49,laptop,0.8
2025-10-24 19:49:49,laptop,0.84
2025-10-24 19:49:49,laptop,0.85
2025-10-24 19:49:49,laptop,0.8
2025-10-24 19:49:49,tv,0.42
2025-10-24 19:49:49,laptop,0.71
2025-10-24 19:49:49,laptop,0.51
2025-10-24 19:49:49,tv,0.29
2025-10-24 19:49:49,laptop,0.64
2025-10-24 19:49:49,laptop,0.47
2025-10-24 19:49:49,laptop,0.78
2025-10-24 19:49:49,laptop,0.45
2025-10-24 19:49:49,tv,0.32
2025-10-24 19:49:50,laptop,0.54
2025-10-24 19:49:50,laptop,0.45
2025-10-24 19:49:50,laptop,0.46
2025-10-24 19:49:50,laptop,0.46
2025-10-24 19:49:50,tv,0.27
2025-10-24 19:49:50,laptop,0.82
2025-10-24 19:49:50,laptop,0.57
2025-10-24 19:49:50,tv,0.28
2025-10-24 19:49:50,laptop,0.88
2025-10-24 19:49:50,laptop,0.58
2025-10-24 19:49:50,tv,0.32
2025-10-24 19:49:50,laptop,0.88
2025-10-24 19:49:50,laptop,0.36
2025-10-24 19:49:50,tv,0.35
2025-10-24 19:49:50,laptop,0.86
2025-10-24 19:49:50,laptop,0.56
2025-10-24 19:49:50,tv,0.34
2025-10-24 19:49:50,laptop,0.84
2025-10-24 19:49:50,laptop,0.59
2025-10-24 19:49:50,tv,0.25
2025-10-24 19:49:50,laptop,0.74
2025-10-24 19:49:50,laptop,0.42
2025-10-24 19:49:50,tv,0.26
2025-10-24 19:49:50,laptop,0.6
2025-10-24 19:49:50,laptop,0.57
2025-10-24 19:49:50,laptop,0.66
2025-10-24 19:49:50,laptop,0.61
2025-10-24 19:49:50,tv,0.28
2025-10-24 19:49:51,laptop,0.52
2025-10-24 19:49:51,laptop,0.38
2025-10-24 19:49:51,tv,0.26
2025-10-24 19:49:51,laptop,0.72
2025-10-24 19:49:51,laptop,0.47
2025-10-24 19:49:51,tv,0.3
2025-10-24 19:49:51,laptop,0.78
2025-10-24 19:49:51,laptop,0.51
